idgrammeme	name
1	Мужской род
2	Женский род
3	Средний род
4	Единственное число
5	Множественное число
6	Именительный падеж
7	Родительный падеж
8	Винительный падеж
9	Дательный падеж
10	Творительный падеж
11	Предложный падеж
12	Член предложения: Предложение
13	Член предложения: Подлежащее
14	Член предложения: Сказуемое
15	Член предложения: Дополнение
16	Член предложения: Определение
17	Член предложения: Обстоятельство
18	Член предложения: Служебное
19	Часть речи: Существительное
20	Часть речи: Глагол
21	Часть речи: Инфинитив
22	Часть речи: Прилагательное
23	Часть речи: Причастие
24	Часть речи: Краткое прилагательное
25	Часть речи: Краткое причастие
26	Часть речи: Наречие
27	Часть речи: Компаратив
28	Часть речи: Числительное
29	Часть речи: Местоимение
30	Часть речи: Деепричастие
31	Часть речи: Частица
32	Часть речи: Предлог
