idrule	name	priority	fm_gender	fm_case	fm_number	first_sg_kind	second_sg_kind	first_sg_type	second_sg_type	sub_attribute
1	предл+СУЩ	1	0	0	0	14	1	2	1	7
2	ГЛ+кр.прич	1	1	0	1	7	10	1	2	3
3	нареч+ГЛ	2	0	0	0	12	7	2	1	6
4	прил+СУЩ	2	1	1	1	2	1	2	1	5
5	ГЛ+сущ	8	0	0	0	7	1	1	2	4
6	ПОДЛ	9	0	0	0	NULL	NULL	1	NULL	2
7	СКАЗ	9	0	0	0	NULL	NULL	1	NULL	3
8	ПОДЛ+СКАЗ/СКАЗ+ПОДЛ	10	0	0	0	NULL	NULL	1	1	1
15	част+СУЩ	1	0	0	0	13	1	2	1	7
16	част+ПРИЛ	1	0	0	0	13	2	2	1	7
17	нареч+КР.ПРИЛ	1	0	0	0	12	3	2	1	6
18	нареч+ПРИЛ	1	0	0	0	12	2	2	1	6
19	част+МЕСТ	1	0	0	0	13	6	2	1	7
20	част+ЧИСЛ	1	0	0	0	13	5	2	1	7
21	числ+ЧИСЛ	1	1	1	1	5	5	2	1	5
22	част+ГЛ	1	0	0	0	13	7	2	1	7
23	ГЛ+инф	1	0	0	0	7	8	1	2	3
24	ГЛ+кр.прил	1	1	0	1	7	3	1	2	3
25	ГЛ+комп	1	0	0	0	7	4	1	2	3
26	част+ИНФ	1	0	0	0	13	8	2	1	7
27	ИНФ+комп	1	0	0	0	8	4	1	2	3
28	част+ПРИЧ	1	0	0	0	13	9	2	1	7
29	нареч+КР.ПРИЧ	1	0	0	0	12	10	2	1	6
30	ПРИЧ+комп	1	0	0	0	9	4	1	2	6
31	нареч+ПРИЧ	1	0	0	0	12	9	2	1	6
32	част+ДЕЕПР	1	0	0	0	13	11	2	1	7
33	ДЕЕПР+комп	1	0	0	0	11	4	1	2	5
34	нареч+ДЕЕПР	1	0	0	0	12	11	2	1	6
35	част+НАРЕЧ	1	0	0	0	13	12	2	1	7
36	нареч+НАРЕЧ	1	0	0	0	12	12	2	1	6
37	числ+СУЩ	2	1	1	1	5	1	2	1	4
38	прил+СУЩ	2	1	1	1	2	1	2	1	5
39	прич+СУЩ	2	1	1	1	9	1	2	1	5
40	мест+СУЩ	2	1	1	1	6	1	2	1	5
41	СУЩ+прил	2	1	1	1	1	2	1	2	5
42	СУЩ+комп	2	0	0	0	1	4	1	2	5
43	ПРИЛ+мест	2	0	0	0	2	6	1	2	4
44	мест+ПРИЛ	2	0	0	0	6	2	2	1	4
45	числ+МЕСТ	2	1	1	1	5	6	2	1	4
46	МЕСТ+комп	2	0	0	0	6	4	1	2	5
47	нареч+ГЛ	2	0	0	0	12	7	2	1	6
48	нареч+ИНФ	2	0	0	0	12	8	2	1	6
49	ПРИЧ+мест	2	0	0	0	9	6	1	2	4
50	мест+ПРИЧ	2	0	0	0	6	9	2	1	4
51	СУЩ+сущ	3	0	0	0	1	1	1	2	4
52	предл+ПРИЛ	3	0	0	0	14	2	2	1	7
53	прил+ПРИЛ	3	1	1	1	2	2	2	1	5
54	предл+МЕСТ	3	0	0	0	14	6	2	1	7
55	прил+МЕСТ	3	1	1	1	2	6	2	1	5
56	предл+ЧИСЛ	2	0	0	0	14	5	2	1	7
57	предл+ПРИЧ	3	0	0	0	14	9	2	1	7
58	ДЕЕПР+числ	3	0	0	0	11	5	1	2	4
59	ДЕЕПР+нареч	3	0	0	0	11	12	1	2	6
60	ПРИЛ+сущ	4	0	0	0	2	1	1	1	4
61	ПРИЧ+сущ	4	0	0	0	2	1	1	2	4
62	ДЕЕПР+прич	4	0	0	0	11	9	1	2	4
63	мест+КР.ПРИЧ	5	0	0	0	6	10	2	1	4
64	КР.ПРИЧ+прил	5	1	0	1	10	2	1	2	5
65	прил+КР.ПРИЧ	5	1	0	1	2	10	2	1	5
66	сущ+КР.ПРИЧ	5	0	0	0	1	10	2	1	4
67	МЕСТ+прил	5	1	1	1	6	2	1	2	5
68	ГЛ+прил	6	0	0	0	7	2	1	2	5
69	ИНФ+прил	6	0	0	0	8	2	1	2	5
70	ПРИЧ+мест	6	0	0	0	9	6	1	2	4
71	ПРИЧ+прил	6	0	0	0	9	2	1	2	5
72	ДЕЕПР+прил	6	0	0	0	11	2	1	2	5
73	СУЩ+прич	7	1	1	1	1	9	1	2	5
74	МЕСТ+прич	7	1	1	1	6	9	1	2	5
75	НАРЕЧ+сущ	8	0	0	0	12	1	1	2	4
76	предл+НАРЕЧ	3	0	0	0	14	12	2	1	7
77	ГЛ+нареч	2	0	0	0	7	12	1	2	6
78	ГЛ+мест	8	0	0	0	7	6	1	2	4
79	ИНФ+мест	8	0	0	0	8	6	1	2	4
80	ИНФ+сущ	8	0	0	0	8	1	1	2	4
81	ДЕЕПР+мест	8	0	0	0	11	6	1	2	4
82	ДЕЕПР+сущ	8	0	0	0	11	1	1	2	4
83	ГЛ+деепр	9	0	0	0	7	11	1	2	6
84	ИНФ+деепр	9	0	0	0	8	11	1	2	6
85	мест+ГЛ	8	0	0	0	6	7	2	1	6
86	мест+ИНФ	8	0	0	0	6	8	2	1	6
87	сущ+ИНФ	8	0	0	0	1	8	2	1	4
88	сущ+ГЛ	8	0	0	0	1	7	2	1	4
89	деепр+ГЛ	9	0	0	0	11	7	2	1	6
90	деепр+ИНФ	9	0	0	0	11	8	2	1	6
